"filename", "language", "XML", "C#", "Markdown", "JSON", "C++", "PowerShell", "Log", "Batch", "comment", "blank", "total"
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Localization.Routing.xml", "XML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Localization.xml", "XML", 442, 0, 0, 0, 0, 0, 0, 0, 0, 1, 443
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Metadata.xml", "XML", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.Abstractions.xml", "XML", 4883, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4896
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.ApiExplorer.xml", "XML", 141, 0, 0, 0, 0, 0, 0, 0, 0, 1, 142
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.Core.xml", "XML", 13819, 0, 0, 0, 0, 0, 0, 0, 0, 33, 13852
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.Cors.xml", "XML", 109, 0, 0, 0, 0, 0, 0, 0, 0, 1, 110
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.DataAnnotations.xml", "XML", 398, 0, 0, 0, 0, 0, 0, 0, 0, 1, 399
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.Formatters.Json.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.Formatters.Xml.xml", "XML", 852, 0, 0, 0, 0, 0, 0, 0, 0, 1, 853
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.Localization.xml", "XML", 651, 0, 0, 0, 0, 0, 0, 0, 0, 1, 652
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.Razor.xml", "XML", 1632, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1635
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Mvc.RazorPages.xml", "XML", 3889, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3890
